Date,High,Low,Open,Close,Volume,Adj Close,SMA (5 days),SMA (10 Days),SMA (15 Days),SMA (20 Days),SD (5 days),SD (10 days),SD (15 days),SD (20 days),Bollinger High (5 days),Bollinger Low (5 days),Bollinger High (10 days),Bollinger Low (10 days),Bollinger High (15 days),Bollinger Low (15 days),Bollinger High (20 days),Bollinger Low (20 days)
2020-01-03,58.97999954223633,58.040000915527344,58.970001220703125,58.060001373291016,10546400.0,56.55569839477539,,,,,,,,,,,,,,,,
2020-01-06,57.689998626708984,57.130001068115234,57.599998474121094,57.38999938964844,8897200.0,55.90305709838867,,,,,,,,,,,,,,,,
2020-01-07,58.599998474121094,56.7400016784668,57.45000076293945,58.31999969482422,7444300.0,56.808963775634766,,,,,,,,,,,,,,,,
2020-01-08,58.97999954223633,58.11000061035156,58.189998626708984,58.75,5381500.0,57.22781753540039,,,,,,,,,,,,,,,,
2020-01-09,59.709999084472656,58.70000076293945,59.689998626708984,59.22999954223633,5112700.0,57.69538497924805,58.35,,,,0.6965988063468193,,,,59.74319761269364,56.95680238730636,,,,,,
2020-01-10,59.70000076293945,58.77000045776367,59.70000076293945,58.86000061035156,4807700.0,57.3349723815918,58.50999984741211,,,,0.7051597782101642,,,,59.92031940383244,57.099680290991785,,,,,,
2020-01-13,60.15999984741211,59.45000076293945,60.150001525878906,60.060001373291016,6613700.0,58.50387954711914,59.044000244140626,,,,0.6540876924248525,,,,60.35217562899033,57.73582485929092,,,,,,
2020-01-14,60.63999938964844,59.91999816894531,60.15999984741211,60.31999969482422,6715200.0,58.75714111328125,59.444000244140625,,,,0.7098099464400751,,,,60.863620137020774,58.024380351260476,,,,,,
2020-01-15,59.70000076293945,58.2599983215332,59.66999816894531,58.38999938964844,10075100.0,56.87714767456055,59.37200012207031,,,,0.809117113706873,,,,60.990234349484055,57.75376589465657,,,,,,
2020-01-16,59.689998626708984,58.29999923706055,59.20000076293945,58.75,11215700.0,57.22781753540039,59.27600021362305,58.81300010681152,,,0.8572225629680781,0.8834284644960285,,,60.99044533955921,57.56155508768689,60.57985703580358,57.04614317781947,,,,
2020-01-17,58.75,58.0099983215332,58.63999938964844,58.58000183105469,8125700.0,57.062225341796875,59.220000457763675,58.86500015258789,,,0.8993053298491612,0.8488065951120252,,,61.018611117461994,57.421389798065356,60.56261334281194,57.167386962363835,,,,
2020-01-21,59.0,57.470001220703125,57.9900016784668,58.2400016784668,9873700.0,56.73103332519531,58.85600051879883,58.95000038146973,,,0.8407313180625803,0.7170153551767452,,,60.53746315492399,57.17453788267367,60.38403109182322,57.51596967111624,,,,
2020-01-22,58.939998626708984,58.31999969482422,58.900001525878906,58.349998474121094,8124500.0,56.83818435668945,58.4620002746582,58.95300025939942,,,0.20241054603555042,0.7141436680081615,,,58.866821366729305,58.0571791825871,60.38128759541574,57.52471292338309,,,,
2020-01-23,58.06999969482422,56.619998931884766,57.86000061035156,57.47999954223633,9999200.0,55.990726470947266,58.28000030517578,58.82600021362305,,,0.48923447424586586,0.8535704422001692,,,59.25846925366751,57.30153135668405,60.533141098023385,57.11885932922271,,,,
