Date,High,Low,Open,Close,Volume,Adj Close,Daily_Return,Daily_Log_Return,Daily_Return_PCT,Cumulative_return,Cumulative_Log_return,Relative_Return
2020-11-16,120.98999786376953,118.1500015258789,118.91999816894531,120.30000305175781,91183000,120.30000305175781,,,,,,
2020-11-17,120.66999816894531,118.95999908447266,119.55000305175781,119.38999938964844,74271000,119.38999938964844,-0.0075644525272193786,-0.007593208103481565,-0.0075644525272193786,-0.0075644525272193786,-0.007593208103481565,-0.7564452527219379
2020-11-18,119.81999969482422,118.0,118.61000061035156,118.02999877929688,76322100,118.02999877929688,-0.011391243967704412,-0.01145662114638139,-0.011391243967704412,-0.01895569649492379,-0.019049829249862954,-1.886952797070407
2020-11-19,119.05999755859375,116.80999755859375,117.58999633789062,118.63999938964844,74113000,118.63999938964844,0.005168182806577715,0.005154873586443159,0.005168182806577715,-0.013787513688346076,-0.013894955663419795,-1.3798866334152837
2020-11-20,118.7699966430664,117.29000091552734,118.63999938964844,117.33999633789062,73604300,117.33999633789062,-0.010957544322705348,-0.011018020396781323,-0.010957544322705348,-0.024745058011051424,-0.02491297606020112,-2.4605208967398595
2020-11-23,117.62000274658203,113.75,117.18000030517578,113.8499984741211,127959300,113.8499984741211,-0.02974261098253128,-0.03019389318111618,-0.02974261098253128,-0.054487668993582705,-0.0551068692413173,-5.361599679146867
2020-11-24,115.8499984741211,112.58999633789062,113.91000366210938,115.16999816894531,113874200,115.16999816894531,0.011594200373434838,0.011527502674892673,0.011594200373434838,-0.04289346862014787,-0.04357936656642463,-4.264343102805556
2020-11-25,116.75,115.16999816894531,115.55000305175781,116.02999877929688,76499200,116.02999877929688,0.007467227785225905,0.007439486056768391,0.007467227785225905,-0.03542624083492196,-0.03613988050965624,-3.5494631455859738
2020-11-27,117.48999786376953,116.22000122070312,116.56999969482422,116.58999633789062,46691300,116.58999633789062,0.0048263170256421795,0.004814707696177695,0.0048263170256421795,-0.030599923809279783,-0.03132517281347855,-3.083962277433183
2020-11-30,120.97000122070312,116.80999755859375,116.97000122070312,119.05000305175781,169410200,119.05000305175781,0.021099637971836005,0.02088012303207468,0.021099637971836005,-0.009500285837443778,-0.010445049781403867,-1.039068967822221
2020-12-01,123.47000122070312,120.01000213623047,121.01000213623047,122.72000122070312,128166800,122.72000122070312,0.030827367281542672,0.030361748998880982,0.030827367281542672,0.021327081444098894,0.019916699217477116,2.0116359996301236
2020-12-02,123.37000274658203,120.88999938964844,122.0199966430664,123.08000183105469,89004200,123.08000183105469,0.0029335121151452537,0.0029292177647830945,0.0029335121151452537,0.024260593559244148,0.02284591698226021,2.3108883697208427
2020-12-03,123.77999877929688,122.20999908447266,123.5199966430664,122.94000244140625,78967600,122.94000244140625,-0.0011374665873064016,-0.0011381139934067894,-0.0011374665873064016,0.023123126971937746,0.02170780298885342,2.1945131526826422
2020-12-04,122.86000061035156,121.5199966430664,122.5999984741211,122.25,78260400,122.25,-0.005612513646525374,-0.005628322982400211,-0.005612513646525374,0.017510613325412372,0.01607948000645321,1.6209450530132008
2020-12-07,124.56999969482422,122.25,122.30999755859375,123.75,86712000,123.75,0.012269938650306678,0.012195273093818206,0.012269938650306678,0.02978055197571905,0.028274753100271416,2.867827814399848
2020-12-08,124.9800033569336,123.08999633789062,124.37000274658203,124.37999725341797,82225500,124.37999725341797,0.005090886896306879,0.005077972144759473,0.005090886896306879,0.03487143887202593,0.03335272524503089,3.391516291071728
2020-12-09,125.94999694824219,121.0,124.52999877929688,121.77999877929688,115089200,121.77999877929688,-0.020903670457748325,-0.021125245436970197,-0.020903670457748325,0.013967768414277604,0.012227479808060694,1.2302541063962558
2020-12-10,123.87000274658203,120.1500015258789,120.5,123.23999786376953,81312200,123.23999786376953,0.011988824922872787,0.01191752823797298,0.011988824922872787,0.02595659333715039,0.024145008046033672,2.443885899775755
2020-12-11,122.76000213623047,120.55000305175781,122.43000030517578,122.41000366210938,86939800,122.41000366210938,-0.00673477942264844,-0.0067575603903911475,-0.00673477942264844,0.01922181391450195,0.017387447655642527,1.753948925041815
2020-12-14,123.3499984741211,121.54000091552734,122.5999984741211,121.77999877929688,79184500,121.77999877929688,-0.005146678081568545,-0.005159967847581869,-0.005146678081568545,0.014075135832933405,0.012227479808060658,1.2302541063962558
2020-12-15,127.9000015258789,124.12999725341797,124.33999633789062,127.87999725341797,157572300,127.87999725341797,0.050090314791152,0.048876174557243975,0.050090314791152,0.06416545062408541,0.061103654365304634,6.300909400973942
