Date,High,Low,Open,Close,Volume,Adj Close,Daily_Return,Daily_Return_PCT,Daily_Log_Return,Cumulative_return,Cumulative_Log_return,Cumulative_return_Comp,Relative_Return
2020-11-16,102.44000244140625,96.36000061035156,96.41999816894531,99.2699966430664,18436200.0,98.85291290283203,,,,,,,
2020-11-17,98.08999633789062,95.69000244140625,97.9800033569336,95.70999908447266,10843700.0,95.30786895751953,-0.0358617676939591,-0.0358617676939591,-0.03652060014326005,-0.0358617676939591,-0.03652060014326005,0.9641382323060409,-3.58617676939591
2020-11-18,98.80000305175781,96.37000274658203,98.5199966430664,96.93000030517578,8526600.0,96.52274322509766,0.012746852286837473,0.012746852286837473,0.012666295010754995,-0.023114915407121628,-0.023854305132505055,0.9764279599373386,-2.357204006266145
2020-11-19,96.86000061035156,95.62000274658203,96.7699966430664,96.61000061035156,5542800.0,96.20409393310547,-0.003301348331958387,-0.003301348331958387,-0.0033068098058273415,-0.026416263739080015,-0.027161114938332398,0.9732044311205219,-2.6795568879478093
2020-11-20,97.19999694824219,95.30000305175781,96.66000366210938,95.33000183105469,5329800.0,94.9294662475586,-0.013249133332059237,-0.013249133332059237,-0.013337686134077783,-0.03966539707113925,-0.04049880107241018,0.9603103158532552,-3.9689684146744675
2020-11-23,98.93000030517578,96.8499984741211,97.16000366210938,98.12999725341797,8802400.0,97.71770477294922,0.029371607768617025,0.029371607768617025,0.0289485265161576,-0.010293789302522227,-0.011550274556252581,0.9885161737866538,-1.1483826213346204
2020-11-24,98.58999633789062,96.0199966430664,98.48999786376953,96.63999938964844,7022800.0,96.23396301269531,-0.01518391832745758,-0.01518391832745758,-0.01530037435840233,-0.025477707629979807,-0.026850648914654912,0.9735066249385064,-2.649337506149363
2020-11-25,97.98999786376953,96.13999938964844,96.19999694824219,97.48999786376953,5194900.0,97.08039093017578,0.008795514067564625,0.008795514067564625,0.008757058858095522,-0.016682193562415182,-0.01809359005655939,0.9820691161530204,-1.7930883846979606
2020-11-27,99.2699966430664,98.05000305175781,98.54000091552734,98.73999786376953,4367100.0,98.32514190673828,0.012821828160738402,0.012821828160738402,0.012740324466935769,-0.0038603654016767797,-0.00535326558962362,0.9946610376023026,-0.5338962397697378
2020-11-30,97.94999694824219,96.19999694824219,97.55999755859375,97.0199966430664,13840500.0,96.61236572265625,-0.017419498257192467,-0.017419498257192467,-0.017573002979170905,-0.021279863658869247,-0.022926268568794525,0.977334541391292,-2.2665458608707945
