Date,High,Low,Open,Close,Volume,Adj Close,Moving Average (5 days),Moving Average (10 Days),Moving Average (15 Days),Moving Average (20 Days),SD (5 days),SD (10 days)
1/5/2020,52.56000137,51.09000015,52.47999954,51.09999847,10238700,50.24827194,52.99599915,52.72599945,52.15933304,51.38700008,1.238438915,0.966910588
4/5/2020,52.18000031,51.27999878,51.79000092,52.15000153,7514000,51.28077316,52.72399979,52.68199959,52.38599981,51.64150009,1.246647739,0.983653207
5/5/2020,52.58000183,51.58000183,52.20999908,51.70999908,7780700,50.84810638,52.51399994,52.7159996,52.45799967,51.72849998,1.325040018,0.938085636
6/5/2020,52.61999893,52,52.11000061,52.13000107,8206700,51.26110458,52.04400024,52.63399963,52.62266642,51.84899998,0.74174226,0.951106942
7/5/2020,52.97999954,52.09999847,52.95000076,52.33000183,5493400,51.45777512,51.8840004,52.60299988,52.61799978,51.95200005,0.493742261,0.955929364
8/5/2020,53.34000015,52.47000122,52.61999893,52.90999985,6087900,52.02810287,52.24600067,52.62099991,52.56599986,52.18099995,0.435293161,0.960271293
11/5/2020,52.83000183,52.38000107,52.61000061,52.40000153,6459300,51.52660751,52.29600067,52.51000023,52.55333328,52.36350002,0.435867231,0.908869959
12/5/2020,52.63999939,51.08000183,52.63999939,51.09999847,8584500,50.24827194,52.17400055,52.34400024,52.53533325,52.38699989,0.665680896,1.004680567
13/5/2020,52.02000046,50.47999954,51.90999985,50.91999817,8611000,50.07126999,51.93199997,51.98800011,52.39999975,52.44999981,0.873253805,0.766113953
14/5/2020,52.15000153,49.79000092,50.43000031,52.09999847,13695600,51.23160553,51.8859993,51.88499985,52.36399968,52.43499966,0.852866716,0.656984881
15/5/2020,51.04999924,49.38000107,50.56000137,49.79999924,17777200,48.969944,51.26399918,51.75499992,52.16866633,52.24049969,1.034157255,0.909619139
18/5/2020,52.18999863,50.77000046,50.93999863,51.86999893,12731100,51.00543594,51.15799866,51.72699966,52.05933304,52.20449963,0.908085724,0.9003716
19/5/2020,51.45999908,50.79999924,51.34999847,50.81000137,12940300,49.96310806,51.09999924,51.63699989,51.92933324,52.17649975,0.921872707,0.946080712
20/5/2020,52.09000015,50.5,51.58000183,51.84000015,8406200,50.9759407,51.28399963,51.6079998,51.75333328,52.12099972,0.967641125,0.933652761
21/5/2020,52.20999908,50.68999863,52.09999847,50.75,7842600,49.90410233,51.01399994,51.44999962,51.59466654,52.02649975,0.866042683,0.931581896
22/5/2020,50.86000061,49.61000061,50.84000015,49.79999924,12462300,48.969944,51.01399994,51.13899956,51.50799993,51.87999973,0.866042683,0.908863373
26/5/2020,51.40000153,50.79000092,51.29999924,50.81999969,8872000,49.97293854,50.80400009,50.98099937,51.41933314,51.7454998,0.721893665,0.795563255
27/5/2020,51.74000168,50.75,51.02999878,51.74000168,11405700,50.87760925,50.99000015,51.04499969,51.42133331,51.69449997,0.83480607,0.831147222
28/5/2020,51.61999893,50.09999847,51.45999908,50.27999878,8178700,49.44194031,50.67799988,50.98099976,51.29799983,51.48449993,0.721541023,0.865761864
29/5/2020,50.72999954,49.86000061,50.34000015,50.33000183,10919200,49.49110794,50.59400024,50.80400009,51.16466649,51.34449997,0.735378256,0.78910947
1/6/2020,51.27999878,50.54000092,50.90999985,51.02999878,6187300,50.17943954,50.84000015,50.92700005,51.03933309,51.34099998,0.595861156,0.706793353
2/6/2020,52.04000092,51.29000092,51.45000076,52.00999832,6063600,51.14310455,51.07799988,50.94099998,51.01333288,51.33399982,0.791435155,0.728597586
3/6/2020,53.25,52.41999817,52.63999939,53.06000137,8380200,52.17560577,51.34199982,51.16599998,51.14399974,51.40149994,1.188179503,0.985700328
4/6/2020,54.36999893,53.02999878,53.06000137,54.27999878,13269500,53.37526703,52.14199982,51.40999985,51.36799978,51.50899982,1.577266134,1.390115869
5/6/2020,56.34000015,55.06000137,55.5,55.20000076,9776100,54.27993393,53.1159996,51.85499992,51.5746666,51.65249977,1.678967614,1.80554872
8/6/2020,55.77999878,54.70999908,55.74000168,55.56999969,6302100,54.64376831,54.02399979,52.43199997,51.95933329,51.78549976,1.485271384,1.98854946
9/6/2020,56.63000107,54.95000076,55.29000092,56.61000061,9355100,55.66643524,54.94400024,53.01100006,52.2753334,51.99599972,1.343811602,2.287494845
10/6/2020,58.04000092,56.81999969,56.81999969,57.54999924,9194300,56.59076691,55.84199982,53.59199982,52.7246666,52.31849976,1.268175987,2.639553065
11/6/2020,56.40999985,55.00999832,55.84999847,55.04000092,9877100,54.12260437,55.99400024,54.06800003,52.93799998,52.52449989,1.063122251,2.393666591
12/6/2020,56.86999893,55.34999847,56.5,56,9838800,55.06659698,56.15400009,54.63499985,53.28799998,52.71949997,0.969860395,2.057826878
15/6/2020,56.11999893,54.52000046,54.70999908,56.02000046,7509700,55.08626938,56.24400024,55.13400002,53.70266673,53.03050003,0.92180747,1.651398245
16/6/2020,57,55.54000092,56.59000015,55.79999924,8827200,54.86993027,56.08199997,55.51300011,54.0346667,53.22700005,0.912534414,1.237910567
17/6/2020,56.81999969,55.88999939,56.15000153,56.59999847,8248700,55.65659714,55.89199982,55.86699982,54.35866648,53.5164999,0.562066841,0.925143104
18/6/2020,56.54000092,55.79000092,56.04000092,56.15000153,6831500,55.62688065,56.11399994,56.05400009,54.75,53.73199997,0.299131668,0.738980868
19/6/2020,56.5,55.27000046,56.47999954,55.31000137,6965100,54.79470444,55.97600021,56.06500015,55.08199997,53.96000004,0.473317311,0.725552949
22/6/2020,56,55.31999969,55.5,56,4480400,55.4782753,55.97200012,56.10800018,55.41333338,54.27000008,0.472936854,0.705419755
23/6/2020,57.15999985,56.52999878,56.63999939,56.75999832,7836500,56.23119354,56.16399994,56.12299995,55.73000005,54.56700001,0.57046347,0.718748951
24/6/2020,57.06000137,56.15999985,56.70999908,56.58000183,7080200,56.05287552,56.16000061,56.02600021,55.96466675,54.80900002,0.566700353,0.550538601
25/6/2020,57.09000015,55.95000076,56.56000137,57.04000092,4509600,56.50858688,56.33800049,56.22600021,56.14866689,55.14700012,0.689289114,0.514656041
26/6/2020,57.25999832,56.20999908,57,56.33000183,6229300,55.80520248,56.54200058,56.2590004,56.2240003,55.44700012,0.398647571,0.509104626
29/6/2020,56.40999985,55.65999985,56.34000015,56.38999939,5016600,55.8646431,56.62000046,56.29600029,56.27866694,55.71500015,0.289222826,0.503216049
30/6/2020,56.99000168,56.18999863,56.25,56.77000046,7158700,56.24110031,56.62200089,56.39300041,56.2893336,55.95300026,0.290465127,0.490306753
1/7/2020,57.47000122,56.75999832,56.97000122,56.81999969,6866500,56.29063797,56.67000046,56.41500053,56.24066696,56.14100018,0.301413244,0.505332294
2/7/2020,59.06999969,57.95000076,57.95000076,58.61999893,10021200,58.07386398,56.98600006,56.66200027,56.4793335,56.35800018,0.939376753,0.848524948
6/7/2020,62.13000107,60.56000137,60.66999817,61.88000107,12725600,61.30349731,58.09599991,57.31900024,56.87133357,56.6920002,2.285286011,1.750018823
7/7/2020,61.5,60.68000031,61.25999832,60.70999908,6672300,60.14439392,58.95999985,57.79000015,57.18400014,56.94900017,2.295659113,1.974948531
8/7/2020,62.74000168,61.5,61.63999939,62.59000015,8721900,62.00688171,60.12399979,58.37300034,57.63666687,57.24800014,2.381518878,2.442312187
9/7/2020,64.97000122,62.88999939,62.95000076,64.77999878,16903300,64.17647552,61.7159996,59.19300003,58.18200022,57.60950012,2.279041553,3.069469549
10/7/2020,64.55999756,63.18999863,64.47000122,63.84999847,10700000,63.2551384,62.76199951,59.87399979,58.69533335,58.05,1.602675386,3.286494459
13/7/2020,67.08000183,64.98000336,65.19999695,65.06999969,16667700,64.46377563,63.39999924,60.74799957,59.34599991,58.50349998,1.788015584,3.399495873
14/7/2020,67.02999878,65.33000183,66,66.95999908,10482700,66.33616638,64.64999924,61.80499954,60.07666651,59.05049992,1.613458785,3.534487747
15/7/2020,67.20999908,65.16000366,67.18000031,66.05999756,12432500,65.44454956,65.34399872,62.73399925,60.69666646,59.56349983,1.198886947,3.275444337
16/7/2020,66.62999725,64.31999969,65.37999725,66.58999634,15709400,65.96961212,65.70599823,63.71099892,61.36399943,60.06299973,1.25782705,2.72651303
17/7/2020,68,66.37000275,67.30999756,66.40000153,11716600,65.78138733,66.21599884,64.48899918,61.98799947,60.57549973,0.718491114,2.164472476
20/7/2020,66.98000336,65.80000305,66.69999695,66.88999939,6357300,66.26682281,66.57999878,64.98999901,62.69199931,61.15449963,0.368578636,2.071295689
21/7/2020,69.25,67.70999908,68.83999634,67.80999756,10621300,67.17824554,66.74999847,65.69999886,63.45333252,61.7449995,0.664717633,1.60573234
22/7/2020,68.90000153,68.02999878,68.09999847,68.52999878,7366100,67.89154053,67.24399872,66.29399872,64.23733241,62.33349953,0.899932878,1.414757003
23/7/2020,68.5,66.75,68.26000214,67.37000275,8559500,66.74235535,67.4,66.55299911,64.94066594,62.87299957,0.822495083,1.3419974
24/7/2020,76.88999939,71.34999847,71.40000153,73.90000153,41226800,73.2115097,68.9,67.55799942,65.95933278,63.7159996,2.85945867,2.421675018
27/7/2020,83.40000153,80.43000031,81.36000061,83.25,39899200,82.47439575,72.17200012,69.37599945,67.38399938,65.06199951,6.727898801,5.372544271
28/7/2020,79.58000183,76.48999786,79.34999847,76.91999817,31500100,76.20337677,73.99400024,70.37199936,68.46466599,66.08849945,6.480287145,5.782471484
29/7/2020,83.37000275,77.05999756,77.11000061,82.66999817,28304000,81.89980316,76.82200012,72.03299942,69.80333252,67.38349934,6.584189346,6.716406044
30/7/2020,81.27999878,78.61000061,80.01000214,79.93000031,16820300,79.18533325,79.33399963,73.36699982,70.81333262,68.53899937,3.94255312,6.838873861
31/7/2020,79.76999664,77.51000214,79.62999725,78.88999939,12027100,78.15502167,80.33199921,74.6159996,71.81599935,69.55249939,2.639303196,6.559947625
